CountryName,Pct_seats,Pct_pop,rep_level
Bulgaria,26.67,51.42861184,Moderate Under
Myanmar,11.11,51.80967224,Severe Under
Burundi,36.36,50.40154539,Low Under
Belarus,40,53.45194014,Low Under
Cambodia,20,51.18828436,Moderate Under
Algeria,25.76,49.48171156,Low Under
Cameroon,31.11,49.99329698,Low Under
Canada,28.99,50.37951633,Low Under
Cabo Verde,25,49.80579558,Moderate Under
Central African Republic,8.57,50.43447255,Severe Under
Sri Lanka,5.33,52.00927286,Severe Under
Chad,15.43,50.0810127,Moderate Under
Chile,22.58,50.7083329,Moderate Under
China,24.94,48.69349797,Low Under
Colombia,18.34,50.90690018,Moderate Under
Comoros,6.06,49.55758141,Severe Under
Congo,11.26,50.05378678,Severe Under
Democratic Republic of the Congo,12.8,50.08777567,Severe Under
Costa Rica,45.61,50.02459604,Near Equal
Croatia,19.21,51.81910559,Moderate Under
Cuba,53.22,50.34247192,Over
Cyprus,19.64,49.99916568,Moderate Under
Czechia,22.5,50.78563782,Moderate Under
Benin,7.23,50.07897111,Severe Under
Denmark,39.66,50.2818234,Low Under
Dominican Republic,27.89,50.03054766,Low Under
Ecuador,39.42,49.97894226,Low Under
El Salvador,33.33,53.15209458,Low Under
Equatorial Guinea,21,44.40759538,Low Under
Ethiopia,38.76,49.97355029,Low Under
Estonia,28.71,52.73062477,Low Under
Angola,30,50.52747501,Low Under
Fiji,19.61,49.32788737,Moderate Under
Finland,46,50.70260996,Near Equal
France,39.51,51.59738338,Low Under
Djibouti,26.15,47.41478927,Low Under
Gabon,14.79,49.0838994,Moderate Under
Georgia,14.09,52.31782628,Severe Under
Gambia,8.62,50.40397053,Severe Under
Germany,31.17,50.60994494,Low Under
Antigua and Barbuda,11.11,51.75719508,Severe Under
Ghana,13.09,49.31896256,Severe Under
Kiribati,6.52,50.83497721,Severe Under
Greece,20.67,50.91857011,Moderate Under
Grenada,46.67,49.62054249,Near Equal
Azerbaijan,16.81,50.07987385,Moderate Under
Argentina,40.86,51.2258022,Low Under
Guatemala,18.99,50.74389659,Moderate Under
Guinea,22.81,51.7190805,Moderate Under
Guyana,34.78,49.75938169,Low Under
Haiti,2.54,50.65651231,Severe Under
Honduras,21.09,50.04169354,Moderate Under
Hungary,12.06,52.41711652,Severe Under
Iceland,38.1,49.7901409,Low Under
India,14.36,48.0298343,Moderate Under
Australia,30.46,50.19953419,Low Under
Indonesia,20.35,49.64638319,Moderate Under
Iran (Islamic Republic of),5.88,49.47783962,Severe Under
Iraq,26.44,49.39730152,Low Under
Ireland,20.89,50.38568372,Moderate Under
Israel,23.33,50.26245476,Moderate Under
Italy,35.71,51.34435964,Low Under
Côte d'Ivoire,11.95,49.54920477,Severe Under
Jamaica,17.46,50.35337589,Moderate Under
Japan,9.91,51.16651112,Severe Under
Kazakhstan,27.1,51.48754047,Low Under
Afghanistan,27.02,48.66239485,Low Under
Austria,39.34,50.76128618,Low Under
Jordan,15.38,49.38261363,Moderate Under
Kenya,21.78,50.31308556,Moderate Under
Democratic People's Republic of Korea,17.61,51.0921658,Moderate Under
Republic of Korea,17.29,49.92816736,Moderate Under
Kuwait,6.35,39.07753531,Moderate Under
Kyrgyzstan,19.17,50.53030377,Moderate Under
Lao People's Democratic Republic,27.52,49.80054275,Low Under
Lebanon,4.69,49.68797538,Severe Under
Lesotho,23.33,50.69118374,Moderate Under
Latvia,30,53.95554716,Low Under
Liberia,12.33,49.74826699,Severe Under
Libya,15.96,49.49992276,Moderate Under
Bahamas,12.82,51.41545524,Severe Under
Lithuania,24.11,53.74464919,Moderate Under
Luxembourg,30,49.47298329,Low Under
Madagascar,15.89,50.11763002,Moderate Under
Malawi,22.92,50.69299608,Moderate Under
Malaysia,14.41,48.59695631,Moderate Under
Maldives,4.6,36.70485557,Moderate Under
Mali,9.52,49.92102207,Severe Under
Malta,13.43,49.86500203,Severe Under
Mauritania,20.26,49.80126822,Moderate Under
Bahrain,15,35.72872668,Low Under
Mauritius,20,50.61937354,Moderate Under
Mexico,48.2,51.08513875,Near Equal
Mongolia,17.33,50.70232044,Moderate Under
Republic of Moldova,24.75,52.0721161,Moderate Under
